temp,date
16,01-07-2021
16,01-07-2021
15,01-07-2021
15,01-07-2021
15,02-07-2021
15,02-07-2021
15,02-07-2021
15,02-07-2021
15,03-07-2021
15,03-07-2021
15,03-07-2021
15,03-07-2021
15,04-07-2021
15,04-07-2021
15,04-07-2021
15,04-07-2021
15,05-07-2021
15,05-07-2021
15,05-07-2021
15,05-07-2021
15,06-07-2021
16,06-07-2021
16,06-07-2021
16,06-07-2021
16,07-07-2021
16,07-07-2021
16,07-07-2021
16,07-07-2021
16,08-07-2021
16,08-07-2021
17,08-07-2021
17,08-07-2021
17,09-07-2021
18,09-07-2021
18,09-07-2021
18,09-07-2021
18,10-07-2021
19,10-07-2021
19,10-07-2021
19,10-07-2021
20,11-07-2021
20,11-07-2021
22,11-07-2021
23,11-07-2021
23,12-07-2021
25,12-07-2021
26,12-07-2021
26,12-07-2021
27,13-07-2021
27,13-07-2021
26,13-07-2021
26,13-07-2021
28,14-07-2021
28,14-07-2021
28,14-07-2021
26,14-07-2021
26,15-07-2021
25,15-07-2021
25,15-07-2021
25,15-07-2021
25,16-07-2021
25,16-07-2021
25,16-07-2021
24,16-07-2021
24,17-07-2021
24,17-07-2021
24,17-07-2021
24,17-07-2021
22,18-07-2021
22,18-07-2021
22,18-07-2021
21,18-07-2021
20,19-07-2021
20,19-07-2021
21,19-07-2021
19,19-07-2021
19,20-07-2021
19,20-07-2021
19,20-07-2021
17,20-07-2021
16,21-07-2021
17,21-07-2021
17,21-07-2021
17,21-07-2021
16,22-07-2021
16,22-07-2021
16,22-07-2021
16,22-07-2021
16,23-07-2021
16,23-07-2021
16,23-07-2021
16,23-07-2021
16,24-07-2021
16,24-07-2021
16,24-07-2021
16,24-07-2021
